Country,Capital,Population,Area
Andorra,Melekeok,19907,458
Andorra,Asunción,6375830,406750
Andorra,Doha,840926,11437
Andorra,Saint-Denis,776948,2517
Andorra,Bucharest,21959278,237500
Andorra,Belgrade,7344847,88361
Andorra,Moscow,140702000,17100000
Andorra,Kigali,11055976,26338
Andorra,Riyadh,25731776,1960582
Andorra,Honiara,559198,28450
Andorra,Victoria,88340,455
Andorra,Khartoum,35000000,1861484
Andorra,Stockholm,9828655,449964
Andorra,Singapore,4701069,693
Andorra,Jamestown,7460,410
Andorra,Ljubljana,2007000,20273
Andorra,Longyearbyen,2550,62049
Andorra,Bratislava,5455000,48845
Andorra,Freetown,5245695,71740
Andorra,San Marino,31477,61
Andorra,Dakar,12323252,196190
Andorra,Mogadishu,10112453,637657
Andorra,Paramaribo,492829,163270
Andorra,Juba,8260490,644329
Andorra,São Tomé,175808,1001
Andorra,San Salvador,6052064,21040
Andorra,Philipsburg,37429,21
Andorra,Damascus,22198110,185180
Andorra,Mbabane,1354051,17363
Andorra,Cockburn Town,20556,430
Andorra,N'Djamena,10543464,1284000
Andorra,Port-aux-Français,140,7829
Andorra,Lomé,6587239,56785
Andorra,Bangkok,67089500,514000
Andorra,Dushanbe,7487489,143100
Andorra,None,1466,10
Andorra,Dili,1154625,15007
Andorra,Ashgabat,4940916,488100
Andorra,Tunis,10589025,163610
Andorra,Nuku'alofa,122580,748
Andorra,Ankara,77804122,780580
Andorra,Port of Spain,1228691,5128
Andorra,Funafuti,10472,26
Andorra,Taipei,22894384,35980
Andorra,Dodoma,41892895,945087
Andorra,Kiev,45415596,603700
Andorra,Kampala,33398682,236040
Andorra,None,0,0
Andorra,Washington,310232863,9629091
Andorra,Montevideo,3477000,176220
Andorra,Tashkent,27865738,447400
Andorra,Vatican City,921,0
Andorra,Kingstown,104217,389
Andorra,Caracas,27223228,912050
Andorra,Road Town,21730,153
Andorra,Charlotte Amalie,108708,352
Andorra,Hanoi,89571130,329560
Andorra,Port Vila,221552,12200
Andorra,Mata-Utu,16025,274
Andorra,Apia,192001,2944
Andorra,Pristina,1800000,10908
Andorra,Sanaa,23495361,527970
Andorra,Mamoudzou,159042,374
Andorra,Pretoria,49000000,1219912
Andorra,Lusaka,13460305,752614
Andorra,Harare,11651858,390580
